1483150,59,155
1414808,22,176
1412830,16,173
1441003,52,144
1475288,34,174
1491639,40,127
1461606,52,131
1456042,57,132
1495115,14,139
1478049,21,182
1470780,18,179
1482716,54,141
1425106,51,177
1454577,33,142
1411435,47,152
1405183,42,180
1489395,15,139
1489926,33,142
1495047,41,169
1436838,59,150
1435121,55,176
1438558,53,189
1461111,44,139
1416691,42,154
1402106,45,157
1437460,53,125
1484980,32,121
1493103,55,139
1485972,56,126
1429061,56,140
1416681,18,128
1417806,39,152
1408279,53,161
1471779,34,150
1456891,35,173
1416805,57,181
1454647,21,182
1458946,16,147
1448409,38,128
1417290,27,178
1413945,22,154
1412416,56,168
1433529,49,165
1432260,34,143
1420424,40,135
1409093,18,145
1409722,50,177
1446233,18,142
1420294,26,190
1418479,24,144
1453187,29,172
1483064,37,148
1471071,25,128
1460429,32,167
1446368,22,172
1462679,35,193
1450893,23,129
1408178,43,174
1481278,37,194
1463941,60,163
1449097,50,174
1442611,49,194
1429939,33,144
1482724,57,154
1403933,32,148
1456364,39,137
1475322,47,152
1462327,26,187
1400284,18,124
1455155,17,145
1460906,46,148
1464154,22,135
1443437,59,156
1431197,52,193
1492671,30,146
1433273,47,194
1455008,27,146
1444402,12,140
1484315,34,155
1413125,39,178
1448943,31,192
1437930,29,179
1440326,29,170
1442843,16,147
1462878,31,148
1407882,55,182
1449296,24,120
1491996,45,179
1435541,18,136
1412895,18,136
1499411,32,144
1445166,48,181
1406220,42,158
1402102,43,160
1495761,56,189
1400950,38,191
1452684,27,171
1471099,56,176
1473958,15,133
1472110,25,127
1431167,40,132
1445618,55,152
1413376,44,182
1444586,20,147
1430936,20,179
1474463,25,168
1404077,31,178
1432813,22,123
1459630,30,120
1467710,27,153
1411131,19,124
1465995,33,163
1441851,41,179
1429335,31,167
1412207,53,191
1445423,44,165
1438330,58,192
1420694,42,122
1427312,23,140
1483820,60,148
1428271,34,176
1455740,13,172
1405805,48,131
1437668,55,139
1416902,13,144
1477228,50,181
1477555,38,162
1447854,49,128
1416294,26,151
1451217,41,155
1499051,49,156
1434938,35,161
1445394,16,123
1463256,28,153
1484044,50,181
1437309,52,124
1496214,15,145
1429579,52,151
1442510,31,156
1413555,33,122
1402494,51,169
1405059,56,155
1496613,28,184
1460971,54,148
1432370,60,186
1437437,57,195
1485649,22,157
1436284,55,155
1463350,37,174
1468817,27,158
1419837,15,179
1435275,12,172
1484141,36,180
1494166,19,192
1498180,60,174
1482872,37,158
1475651,28,185
1416431,49,150
1450906,59,190
1447210,43,180
1480188,40,173
1408291,31,158
1402051,22,140
1491704,24,179
1460474,60,161
1496145,14,149
1427775,21,190
1466778,38,151
1498585,33,195
1473619,15,154
1459625,42,182
1469947,54,170
1446024,32,164
1474717,52,169
1459579,15,131
1460889,54,182
1484117,57,156
1437090,26,127
1440860,31,136
1443867,52,158
1415768,49,164
1474571,33,128
1473854,32,145
1490197,55,131
1403154,41,178
1475046,31,123
1418355,59,155
1485178,37,157
